date,product_id,product_category,sales_qty,price,store_id,day_of_week,month,quarter,is_weekend,is_holiday,base_demand,price_change_pct,weather_event,weather_intensity,natural_disaster,disaster_severity,festival_event,festival_impact_level,economic_event,economic_impact_score,combined_event_count,is_pre_event,is_post_event,sales_lag_7d,sales_lag_30d,rolling_avg_7d,rolling_avg_30d
2024-01-01,SKU001,Clothing,52,373.36,STORE_001,0,1,1,0,0,56,0.0,None,None,None,0,None,None,None,0,0,0,0,56.0,56.0,52.0,52.0
2024-01-01,SKU002,Food,216,60.22,STORE_001,0,1,1,0,0,238,0.0,None,None,None,0,None,None,None,0,0,0,0,238.0,238.0,216.0,216.0
2024-01-01,SKU003,Medicine,73,299.34,STORE_001,0,1,1,0,0,72,0.0,None,None,None,0,None,None,None,0,0,0,0,72.0,72.0,73.0,73.0
2024-01-01,SKU004,Clothing,121,124.0,STORE_001,0,1,1,0,0,105,0.0,None,None,None,0,None,None,None,0,0,0,0,105.0,105.0,121.0,121.0
2024-01-01,SKU005,Medicine,89,360.85,STORE_001,0,1,1,0,0,100,0.0,None,None,None,0,None,None,None,0,0,0,0,100.0,100.0,89.0,89.0
2024-01-01,SKU006,Books,102,229.58,STORE_001,0,1,1,0,0,106,-0.23,None,None,None,0,None,None,None,0,0,0,0,106.0,106.0,102.0,102.0
2024-01-01,SKU007,Electronics,229,404.85,STORE_001,0,1,1,0,0,244,0.0,None,None,None,0,None,None,None,0,0,0,0,244.0,244.0,229.0,229.0
2024-01-01,SKU008,Sports,138,85.84,STORE_001,0,1,1,0,0,121,-0.4,None,None,None,0,None,None,None,0,0,0,0,121.0,121.0,138.0,138.0
2024-01-01,SKU009,Sports,80,56.47,STORE_001,0,1,1,0,0,76,1.85,None,None,None,0,None,None,None,0,0,0,0,76.0,76.0,80.0,80.0
2024-01-01,SKU010,Sports,228,139.62,STORE_001,0,1,1,0,0,204,0.0,None,None,None,0,None,None,None,0,0,0,0,204.0,204.0,228.0,228.0
2024-01-01,SKU011,Toys,163,71.16,STORE_001,0,1,1,0,0,187,0.0,None,None,None,0,None,None,None,0,0,0,0,187.0,187.0,163.0,163.0
2024-01-01,SKU012,Clothing,163,153.66,STORE_001,0,1,1,0,0,191,0.0,None,None,None,0,None,None,None,0,0,0,0,191.0,191.0,163.0,163.0
